,Sentences,Corresponding_words,Unnamed: 0
5220,"Critics praise Goodman's finely honed descriptive abilities and instinctive grasp of familial dynamics, the ways in which dreams and emotional habits are handed down ...","['Critics', 'praise', 'Goodman', ""'s"", 'finely', 'honed', 'descriptive', 'abilities', 'and', 'instinctive', 'grasp', 'of', 'familial', 'dynamics', ',', 'the', 'ways', 'in', 'which', 'dreams', 'and', 'emotional', 'habits', 'are', 'handed', 'down', '...']",5220.0
7137,they should let go the people in jail for misdemeanors,"['they', 'should', 'let', 'go', 'the', 'people', 'in', 'jail', 'for', 'misdemeanors']",7137.0
11842,no chemicals and plus then you can use it as a fertilizer and not have to worry about spreading those chemicals like on your lawn or your bushes or whatever,"['no', 'chemicals', 'and', 'plus', 'then', 'you', 'can', 'use', 'it', 'as', 'a', 'fertilizer', 'and', 'not', 'have', 'to', 'worry', 'about', 'spreading', 'those', 'chemicals', 'like', 'on', 'your', 'lawn', 'or', 'your', 'bushes', 'or', 'whatever']",11842.0
19392,"There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).","['There', 'are', 'a', 'number', 'of', 'expensive', 'jewelry', 'and', 'other', 'duty', '-', 'free', 'shops', ',', 'all', 'with', 'goods', 'priced', 'in', 'US', 'dollars', '(', 'duty', '-', 'free', 'goods', 'must', 'always', 'be', 'paid', 'for', 'in', 'foreign', 'currency', ')', '.']",19392.0
2714,"Also, considerable sums are spent by the Postal Service analyzing the costs associated with worksharing, and mailers/competitors incur considerable expense litigating their positions on worksharing before the Postal Rate Commission.","['Also', ',', 'considerable', 'sums', 'are', 'spent', 'by', 'the', 'Postal', 'Service', 'analyzing', 'the', 'costs', 'associated', 'with', 'worksharing', ',', 'and', 'mailers', '/', 'competitors', 'incur', 'considerable', 'expense', 'litigating', 'their', 'positions', 'on', 'worksharing', 'before', 'the', 'Postal', 'Rate', 'Commission', '.']",2714.0
8972,profit rather,"['profit', 'rather']",8972.0
2206,"Paroseas cave, reef, and wreck diving around its shores, giving the diver a wide range of environments to explore.","['Paroseas', 'cave', ',', 'reef', ',', 'and', 'wreck', 'diving', 'around', 'its', 'shores', ',', 'giving', 'the', 'diver', 'a', 'wide', 'range', 'of', 'environments', 'to', 'explore', '.']",2206.0
7559,Slate 60 ranks American charity contributions.,"['Slate', '60', 'ranks', 'American', 'charity', 'contributions', '.']",7559.0
15142,"Whether you drink beer or alcohol or not, a trip to Dublin isn't complete without a visit to some of its pubs don't miss this experience.","['Whether', 'you', 'drink', 'beer', 'or', 'alcohol', 'or', 'not', ',', 'a', 'trip', 'to', 'Dublin', 'is', ""n't"", 'complete', 'without', 'a', 'visit', 'to', 'some', 'of', 'its', 'pubs', 'do', ""n't"", 'miss', 'this', 'experience', '.']",15142.0
3738,He had no real answer.,"['He', 'had', 'no', 'real', 'answer', '.']",3738.0
4679,Someone should make the decision.,"['Someone', 'should', 'make', 'the', 'decision', '.']",4679.0
7050,"Generally, if pH of scrubbing liquor falls below a range of 5.0 to 6.0, additional reagent is required to maintain the reactivity of the absorbent.","['Generally', ',', 'if', 'pH', 'of', 'scrubbing', 'liquor', 'falls', 'below', 'a', 'range', 'of', '5.0', 'to', '6.0', ',', 'additional', 'reagent', 'is', 'required', 'to', 'maintain', 'the', 'reactivity', 'of', 'the', 'absorbent', '.']",7050.0
16502,"What are you going to do about it?"" Tuppence frowned severely.","['What', 'are', 'you', 'going', 'to', 'do', 'about', 'it', '?', '""', 'Tuppence', 'frowned', 'severely', '.']",16502.0
10877,I had many many fans during my Crossfire days.,"['I', 'had', 'many', 'many', 'fans', 'during', 'my', 'Crossfire', 'days', '.']",10877.0
7656,"More to the point, even as the major airlines have been reaping large profits over the last four years, their productivity has not risen at all, suggesting that consolidation is not improving efficiency.","['More', 'to', 'the', 'point', ',', 'even', 'as', 'the', 'major', 'airlines', 'have', 'been', 'reaping', 'large', 'profits', 'over', 'the', 'last', 'four', 'years', ',', 'their', 'productivity', 'has', 'not', 'risen', 'at', 'all', ',', 'suggesting', 'that', 'consolidation', 'is', 'not', 'improving', 'efficiency', '.']",7656.0
12718,He was born Siddhartha Gautama in a grove of sal trees at Lumbini (just across the Nepalese border) around the year 566 b.c.,"['He', 'was', 'born', 'Siddhartha', 'Gautama', 'in', 'a', 'grove', 'of', 'sal', 'trees', 'at', 'Lumbini', '(', 'just', 'across', 'the', 'Nepalese', 'border', ')', 'around', 'the', 'year', '566', 'b.c', '.']",12718.0
2814,yeah okay yeah those games are fun to watch you you you watch those games,"['yeah', 'okay', 'yeah', 'those', 'games', 'are', 'fun', 'to', 'watch', 'you', 'you', 'you', 'watch', 'those', 'games']",2814.0
11330,so it's sociology,"['so', 'it', ""'s"", 'sociology']",11330.0
13915,the congress is generally responsible for controlling funding levels.,"['the', 'congress', 'is', 'generally', 'responsible', 'for', 'controlling', 'funding', 'levels', '.']",13915.0
7805,Stone would have been too expensive to ship into the Nile Valley.,"['Stone', 'would', 'have', 'been', 'too', 'expensive', 'to', 'ship', 'into', 'the', 'Nile', 'Valley', '.']",7805.0
2031,There are piles around the hole.,"['There', 'are', 'piles', 'around', 'the', 'hole', '.']",2031.0
5142,During the Crimean War (1854 56) she set up a hospital in the huge Selimiye Barracks (Selimiye Kelase).,"['During', 'the', 'Crimean', 'War', '(', '1854', '56', ')', 'she', 'set', 'up', 'a', 'hospital', 'in', 'the', 'huge', 'Selimiye', 'Barracks', '(', 'Selimiye', 'Kelase', ')', '.']",5142.0
13282,"Thus, recent evidence suggests that by not including an estimate of reductions in short-term mortality due to changes in ambient ozone, both the Base and Alternative Estimates may underestimate the benefits of implementation of the Clear Skies Act.","['Thus', ',', 'recent', 'evidence', 'suggests', 'that', 'by', 'not', 'including', 'an', 'estimate', 'of', 'reductions', 'in', 'short', '-', 'term', 'mortality', 'due', 'to', 'changes', 'in', 'ambient', 'ozone', ',', 'both', 'the', 'Base', 'and', 'Alternative', 'Estimates', 'may', 'underestimate', 'the', 'benefits', 'of', 'implementation', 'of', 'the', 'Clear', 'Skies', 'Act', '.']",13282.0
9917,there wasn't anything good about it,"['there', 'was', ""n't"", 'anything', 'good', 'about', 'it']",9917.0
5659,Sugar was a luxury item.,"['Sugar', 'was', 'a', 'luxury', 'item', '.']",5659.0
10478,"I ordered Better Sexual Techniques , Advanced Sexual Techniques , Making Sex Fun , and Advanced Oral Sex Techniques (priced about $11.","['I', 'ordered', 'Better', 'Sexual', 'Techniques', ',', 'Advanced', 'Sexual', 'Techniques', ',', 'Making', 'Sex', 'Fun', ',', 'and', 'Advanced', 'Oral', 'Sex', 'Techniques', '(', 'priced', 'about', '$', '11', '.']",10478.0
477,From what I know the borders of Iran are still open.,"['From', 'what', 'I', 'know', 'the', 'borders', 'of', 'Iran', 'are', 'still', 'open', '.']",477.0
5069,I am glad that I get daily news updates about the Peace Corps.,"['I', 'am', 'glad', 'that', 'I', 'get', 'daily', 'news', 'updates', 'about', 'the', 'Peace', 'Corps', '.']",5069.0
3068,"Strom Thurmond , R-S.C., celebrated his 95 th birthday by announcing that he will relinquish the chairmanship of the Senate Armed Services Committee a year from now.","['Strom', 'Thurmond', ',', 'R', '-', 'S.C.', ',', 'celebrated', 'his', '95', 'th', 'birthday', 'by', 'announcing', 'that', 'he', 'will', 'relinquish', 'the', 'chairmanship', 'of', 'the', 'Senate', 'Armed', 'Services', 'Committee', 'a', 'year', 'from', 'now', '.']",3068.0
14266,"A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.","['A', 'chancy', 'road', 'winding', 'up', 'to', 'the', '475', '-', 'metre', '(', '1,560', '-', 'foot', ')', 'summit', 'is', 'likely', 'to', 'test', 'the', 'engine', 'and', 'suspension', 'of', 'your', 'car', ',', 'as', 'well', 'as', 'your', 'own', 'persistence', '.']",14266.0
4710,i think that yeah i think and i i think that's real important,"['i', 'think', 'that', 'yeah', 'i', 'think', 'and', 'i', 'i', 'think', 'that', ""'s"", 'real', 'important']",4710.0
14770,Gore has been Clinton's lackey for more than six years.,"['Gore', 'has', 'been', 'Clinton', ""'s"", 'lackey', 'for', 'more', 'than', 'six', 'years', '.']",14770.0
15098,The spear missed Vrenna by only a hand-span.,"['The', 'spear', 'missed', 'Vrenna', 'by', 'only', 'a', 'hand', '-', 'span', '.']",15098.0
1348,"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.","['Prior', 'to', '1986', ',', 'the', 'United', 'States', 'had', 'been', 'a', 'net', 'creditor', 'because', 'its', 'holdings', 'of', 'foreign', 'assets', 'exceeded', 'foreign', 'holdings', 'of', 'U.S.', 'assets', '.']",1348.0
2807,Gross did not have to pay any money for advertising.,"['Gross', 'did', 'not', 'have', 'to', 'pay', 'any', 'money', 'for', 'advertising', '.']",2807.0
6455,The Committee plans that LSC discuss this proposal with stakeholders.,"['The', 'Committee', 'plans', 'that', 'LSC', 'discuss', 'this', 'proposal', 'with', 'stakeholders', '.']",6455.0
1567,There is a palace which can be toured in Honolulu.,"['There', 'is', 'a', 'palace', 'which', 'can', 'be', 'toured', 'in', 'Honolulu', '.']",1567.0
4300,Initiatives that we suggested for the CIO Council to consider,"['Initiatives', 'that', 'we', 'suggested', 'for', 'the', 'CIO', 'Council', 'to', 'consider']",4300.0
2549,She had an impatient tone when she spoke to him.,"['She', 'had', 'an', 'impatient', 'tone', 'when', 'she', 'spoke', 'to', 'him', '.']",2549.0
13110,"He wanted silk and encouraged the Dutch and British as good, nonproselytizing Protestants just interested in trade.","['He', 'wanted', 'silk', 'and', 'encouraged', 'the', 'Dutch', 'and', 'British', 'as', 'good', ',', 'nonproselytizing', 'Protestants', 'just', 'interested', 'in', 'trade', '.']",13110.0
12012,wow who can afford that  my God i can't afford to miss a day let alone six,"['wow', 'who', 'can', 'afford', 'that', ' ', 'my', 'God', 'i', 'ca', ""n't"", 'afford', 'to', 'miss', 'a', 'day', 'let', 'alone', 'six']",12012.0
376,These alone could have valuable uses.,"['These', 'alone', 'could', 'have', 'valuable', 'uses', '.']",376.0
12943,The Black River is measured at seventy-one kilometers in length.,"['The', 'Black', 'River', 'is', 'measured', 'at', 'seventy', '-', 'one', 'kilometers', 'in', 'length', '.']",12943.0
8163,The Illinois Equal Justice Foundation just received money from the Illinois General Assembly.,"['The', 'Illinois', 'Equal', 'Justice', 'Foundation', 'just', 'received', 'money', 'from', 'the', 'Illinois', 'General', 'Assembly', '.']",8163.0
4226,"Ramses II did not build it from stone but had it hewn into the cliffs of the Nile valley at a spot that stands only 7 km (4 miles) from the Sudan border, in the ancient land of Nubia.","['Ramses', 'II', 'did', 'not', 'build', 'it', 'from', 'stone', 'but', 'had', 'it', 'hewn', 'into', 'the', 'cliffs', 'of', 'the', 'Nile', 'valley', 'at', 'a', 'spot', 'that', 'stands', 'only', '7', 'km', '(', '4', 'miles', ')', 'from', 'the', 'Sudan', 'border', ',', 'in', 'the', 'ancient', 'land', 'of', 'Nubia', '.']",4226.0
15488,"If you land by boat, Caravelle beach is yours for the using; otherwise you'll have to pay a nominal charge to the vacation club that owns the acreage.","['If', 'you', 'land', 'by', 'boat', ',', 'Caravelle', 'beach', 'is', 'yours', 'for', 'the', 'using', ';', 'otherwise', 'you', ""'ll"", 'have', 'to', 'pay', 'a', 'nominal', 'charge', 'to', 'the', 'vacation', 'club', 'that', 'owns', 'the', 'acreage', '.']",15488.0
11198,"Be of good cheer,","['Be', 'of', 'good', 'cheer', ',']",11198.0
8416,"The man who had once come up with a has-been corner skit, in which, as Zmuda recalls, forgotten performers would be sent out to flounder in front of an audience ...","['The', 'man', 'who', 'had', 'once', 'come', 'up', 'with', 'a', 'has', '-', 'been', 'corner', 'skit', ',', 'in', 'which', ',', 'as', 'Zmuda', 'recalls', ',', 'forgotten', 'performers', 'would', 'be', 'sent', 'out', 'to', 'flounder', 'in', 'front', 'of', 'an', 'audience', '...']",8416.0
9389,The consumption of fish is the main way in which mercury poisoning occurs.,"['The', 'consumption', 'of', 'fish', 'is', 'the', 'main', 'way', 'in', 'which', 'mercury', 'poisoning', 'occurs', '.']",9389.0
17966,because i don't want to my mother was also a domineering type of personality because she had to take over the things that my dad fell short in,"['because', 'i', 'do', ""n't"", 'want', 'to', 'my', 'mother', 'was', 'also', 'a', 'domineering', 'type', 'of', 'personality', 'because', 'she', 'had', 'to', 'take', 'over', 'the', 'things', 'that', 'my', 'dad', 'fell', 'short', 'in']",17966.0
10226,Net nonfederal saving,"['Net', 'nonfederal', 'saving']",10226.0
16869,Tony Snow touted a poll showing that 60 percent of Americans think the allegations represent a pattern of behavior.,"['Tony', 'Snow', 'touted', 'a', 'poll', 'showing', 'that', '60', 'percent', 'of', 'Americans', 'think', 'the', 'allegations', 'represent', 'a', 'pattern', 'of', 'behavior', '.']",16869.0
3715,It was freezing in West Texas and raining.,"['It', 'was', 'freezing', 'in', 'West', 'Texas', 'and', 'raining', '.']",3715.0
18614,TEST ORGANISMS,"['TEST', 'ORGANISMS']",18614.0
10788,What idiots girls are!,"['What', 'idiots', 'girls', 'are', '!']",10788.0
11752,"I shan't stop you.""","['I', 'sha', ""n't"", 'stop', 'you', '.', '""']",11752.0
5247,The mosque contains many examples of intricate textile work.,"['The', 'mosque', 'contains', 'many', 'examples', 'of', 'intricate', 'textile', 'work', '.']",5247.0
13481,Passwords are unnecessary as they waste additional time.,"['Passwords', 'are', 'unnecessary', 'as', 'they', 'waste', 'additional', 'time', '.']",13481.0
8832,"The route passes in sight of two uninhabited Es Vedr? , which hovers like an apparition on the horizon off to the west, and Espalmador, which is popular with yachtsmen for its white-sand beach.","['The', 'route', 'passes', 'in', 'sight', 'of', 'two', 'uninhabited', 'Es', 'Vedr', '?', '\xa0', ',', 'which', 'hovers', 'like', 'an', 'apparition', 'on', 'the', 'horizon', 'off', 'to', 'the', 'west', ',', 'and', 'Espalmador', ',', 'which', 'is', 'popular', 'with', 'yachtsmen', 'for', 'its', 'white', '-', 'sand', 'beach', '.']",8832.0
7441,Support for affirmative action laws has declined slightly over the past few years.,"['Support', 'for', 'affirmative', 'action', 'laws', 'has', 'declined', 'slightly', 'over', 'the', 'past', 'few', 'years', '.']",7441.0
9040,"Ramses II did not build it from stone but had it hewn into the cliffs of the Nile valley at a spot that stands only 7 km (4 miles) from the Sudan border, in the ancient land of Nubia.","['Ramses', 'II', 'did', 'not', 'build', 'it', 'from', 'stone', 'but', 'had', 'it', 'hewn', 'into', 'the', 'cliffs', 'of', 'the', 'Nile', 'valley', 'at', 'a', 'spot', 'that', 'stands', 'only', '7', 'km', '(', '4', 'miles', ')', 'from', 'the', 'Sudan', 'border', ',', 'in', 'the', 'ancient', 'land', 'of', 'Nubia', '.']",9040.0
7502,"Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios.","['Also', ',', 'disappointing', 'earnings', 'reports', 'from', 'Intel', 'and', 'other', 'blue', '-', 'chip', 'companies', 'in', 'the', 'two', 'weeks', 'leading', 'up', 'to', 'the', 'crash', 'caused', 'investors', 'to', 'question', 'the', 'value', 'of', 'entire', 'portfolios', '.']",7502.0
15972,"The much-previewed profile of Michael Huffington reveals that he is--surprise, surprise--gay.","['The', 'much', '-', 'previewed', 'profile', 'of', 'Michael', 'Huffington', 'reveals', 'that', 'he', 'is', '--', 'surprise', ',', 'surprise', '--', 'gay', '.']",15972.0
19462,"To make matters worse, many employers looking to save money (and please their employees) will drop dependent benefits if states provide better coverage than the private plans now do.","['To', 'make', 'matters', 'worse', ',', 'many', 'employers', 'looking', 'to', 'save', 'money', '(', 'and', 'please', 'their', 'employees', ')', 'will', 'drop', 'dependent', 'benefits', 'if', 'states', 'provide', 'better', 'coverage', 'than', 'the', 'private', 'plans', 'now', 'do', '.']",19462.0
17538,Castlerigg near Keswick is the best example.,"['Castlerigg', 'near', 'Keswick', 'is', 'the', 'best', 'example', '.']",17538.0
6866,Jon walked back to the town to the smithy.,"['Jon', 'walked', 'back', 'to', 'the', 'town', 'to', 'the', 'smithy', '.']",6866.0
5330,"In 392 the Emperor Theodosius proclaimed Christianity to be the official religion of the Roman Empire, and on his death in 395 the empire was split once more, between his two sons, and was never again to be reunited.","['In', '392', 'the', 'Emperor', 'Theodosius', 'proclaimed', 'Christianity', 'to', 'be', 'the', 'official', 'religion', 'of', 'the', 'Roman', 'Empire', ',', 'and', 'on', 'his', 'death', 'in', '395', 'the', 'empire', 'was', 'split', 'once', 'more', ',', 'between', 'his', 'two', 'sons', ',', 'and', 'was', 'never', 'again', 'to', 'be', 'reunited', '.']",5330.0
15417,He could not afford to get distracted from his problem.,"['He', 'could', 'not', 'afford', 'to', 'get', 'distracted', 'from', 'his', 'problem', '.']",15417.0
18796,A 1997 Henry J. Kaiser Family Foundation survey found that Americans in managed care plans are basically content with their own care.,"['A', '1997', 'Henry', 'J.', 'Kaiser', 'Family', 'Foundation', 'survey', 'found', 'that', 'Americans', 'in', 'managed', 'care', 'plans', 'are', 'basically', 'content', 'with', 'their', 'own', 'care', '.']",18796.0
13078,it depends a lot of uh a lot of things were thought that uh as you know the farmers thought okay we got chemicals we're putting chemicals on the field well the ground will naturally filter out the,"['it', 'depends', 'a', 'lot', 'of', 'uh', 'a', 'lot', 'of', 'things', 'were', 'thought', 'that', 'uh', 'as', 'you', 'know', 'the', 'farmers', 'thought', 'okay', 'we', 'got', 'chemicals', 'we', ""'re"", 'putting', 'chemicals', 'on', 'the', 'field', 'well', 'the', 'ground', 'will', 'naturally', 'filter', 'out', 'the']",13078.0
10591,"The emperor was exhausted by his religious and political obligation, and abdicated early.","['The', 'emperor', 'was', 'exhausted', 'by', 'his', 'religious', 'and', 'political', 'obligation', ',', 'and', 'abdicated', 'early', '.']",10591.0
2348,"We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner.","['We', 'should', ""n't"", 'have', 'been', 'here', 'as', 'soon', 'as', 'this', 'even', ',', 'if', 'it', 'had', ""n't"", 'been', 'for', 'the', 'fact', 'that', 'there', 'was', 'a', 'smart', 'doctor', 'on', 'the', 'spot', ',', 'who', 'gave', 'us', 'the', 'tip', 'through', 'the', 'Coroner', '.']",2348.0
13695,Educating the kids and making them practice with street signs and cars will not make it happen.,"['Educating', 'the', 'kids', 'and', 'making', 'them', 'practice', 'with', 'street', 'signs', 'and', 'cars', 'will', 'not', 'make', 'it', 'happen', '.']",13695.0
3276,"Yes, undoubtedly the hand of Mr. Brown! Mr. Carter paused.","['Yes', ',', 'undoubtedly', 'the', 'hand', 'of', 'Mr.', 'Brown', '!', 'Mr.', 'Carter', 'paused', '.']",3276.0
16363,There was no cost in keeping the grass alive in the summer time.,"['There', 'was', 'no', 'cost', 'in', 'keeping', 'the', 'grass', 'alive', 'in', 'the', 'summer', 'time', '.']",16363.0
12520,"Today, the island is little more than a forgotten backwater with few ferry connections to other islands, but its strong natural defenses gave it advantages in ancient times.","['Today', ',', 'the', 'island', 'is', 'little', 'more', 'than', 'a', 'forgotten', 'backwater', 'with', 'few', 'ferry', 'connections', 'to', 'other', 'islands', ',', 'but', 'its', 'strong', 'natural', 'defenses', 'gave', 'it', 'advantages', 'in', 'ancient', 'times', '.']",12520.0
11213,The author advised that zinc supplements are good for health.,"['The', 'author', 'advised', 'that', 'zinc', 'supplements', 'are', 'good', 'for', 'health', '.']",11213.0
15195,The second installment of Star Wars is in theaters.,"['The', 'second', 'installment', 'of', 'Star', 'Wars', 'is', 'in', 'theaters', '.']",15195.0
5648,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.","['In', 'Hong', 'Kong', 'you', 'can', 'have', 'a', 'plate', ',', 'or', 'even', 'a', 'whole', 'dinner', 'service', ',', 'hand', '-', 'painted', 'to', 'your', 'own', 'design', '.']",5648.0
13648,"Typically assumed to be a high-roller card game, baccarat (bah-cah-rah) is similar to blackjack, though it's played with stricter rules, higher limits, and less player interaction.","['Typically', 'assumed', 'to', 'be', 'a', 'high', '-', 'roller', 'card', 'game', ',', 'baccarat', '(', 'bah', '-', 'cah', '-', 'rah', ')', 'is', 'similar', 'to', 'blackjack', ',', 'though', 'it', ""'s"", 'played', 'with', 'stricter', 'rules', ',', 'higher', 'limits', ',', 'and', 'less', 'player', 'interaction', '.']",13648.0
7217,On the second Tuesday of the month they were at the community courthouse.,"['On', 'the', 'second', 'Tuesday', 'of', 'the', 'month', 'they', 'were', 'at', 'the', 'community', 'courthouse', '.']",7217.0
11093,Most produce is local.,"['Most', 'produce', 'is', 'local', '.']",11093.0
10242,"Likewise, at their production decision reviews, these programs did not capture manufacturing and product reliability knowledge consistent with best practices.","['Likewise', ',', 'at', 'their', 'production', 'decision', 'reviews', ',', 'these', 'programs', 'did', 'not', 'capture', 'manufacturing', 'and', 'product', 'reliability', 'knowledge', 'consistent', 'with', 'best', 'practices', '.']",10242.0
6910,John Panzar has characterized street delivery as a bottleneck function because a single firm can deliver to a recipient at a lower total cost than multiple firms delivering to the same customer.,"['John', 'Panzar', 'has', 'characterized', 'street', 'delivery', 'as', 'a', 'bottleneck', 'function', 'because', 'a', 'single', 'firm', 'can', 'deliver', 'to', 'a', 'recipient', 'at', 'a', 'lower', 'total', 'cost', 'than', 'multiple', 'firms', 'delivering', 'to', 'the', 'same', 'customer', '.']",6910.0
4051,He could have just ghosted once.,"['He', 'could', 'have', 'just', 'ghosted', 'once', '.']",4051.0
13596,"This time around, Lloyd believes he's the Messiah.","['This', 'time', 'around', ',', 'Lloyd', 'believes', 'he', ""'s"", 'the', 'Messiah', '.']",13596.0
1583,What is your best?,"['What', 'is', 'your', 'best', '?']",1583.0
18089,It is rare for GAO to do something as a professional courtesy.,"['It', 'is', 'rare', 'for', 'GAO', 'to', 'do', 'something', 'as', 'a', 'professional', 'courtesy', '.']",18089.0
4694,"Other villages are much less developed, and therein lies the essence of many delights.","['Other', 'villages', 'are', 'much', 'less', 'developed', ',', 'and', 'therein', 'lies', 'the', 'essence', 'of', 'many', 'delights', '.']",4694.0
4093,Researchers substituted data on jello ingestion for auto collisions in their work.,"['Researchers', 'substituted', 'data', 'on', 'jello', 'ingestion', 'for', 'auto', 'collisions', 'in', 'their', 'work', '.']",4093.0
8856,Over their backs fell the cutting lashes of a whip.,"['Over', 'their', 'backs', 'fell', 'the', 'cutting', 'lashes', 'of', 'a', 'whip', '.']",8856.0
13855,"Mother, trying to be humble, asked if the trunk was small.","['Mother', ',', 'trying', 'to', 'be', 'humble', ',', 'asked', 'if', 'the', 'trunk', 'was', 'small', '.']",13855.0
4619,Someone likes to get comments from readers of a paper.,"['Someone', 'likes', 'to', 'get', 'comments', 'from', 'readers', 'of', 'a', 'paper', '.']",4619.0
10889,The final rule was declared not to be an economically significant regulator action.,"['The', 'final', 'rule', 'was', 'declared', 'not', 'to', 'be', 'an', 'economically', 'significant', 'regulator', 'action', '.']",10889.0
2917,The man watched motionlessly as the spear fell.,"['The', 'man', 'watched', 'motionlessly', 'as', 'the', 'spear', 'fell', '.']",2917.0
18381,Lasted too long,"['Lasted', 'too', 'long']",18381.0
